DEPTH_FT,DEPTH_M,RHOB,DT,GR,Sv_psi,Pp_psi,Pp_hydro_psi,Shmin_psi,SHmax_psi,sigma1_psi,sigma2_psi,sigma3_psi,sigma1_eff,sigma2_eff,sigma3_eff,UCS_psi,UCS_MPa,cohesion_psi,friction_angle_deg,poisson,Sv_ppg,Pp_ppg,Shmin_ppg,SHmax_ppg
43.0000,13.1100,2.4728,36.1322,43.6983,0.0000,0.0191,0.0191,0.0143,0.0036,0.0000,0.0036,0.0143,-0.0191,-0.0155,-0.0048,435.1140,3.0000,125.6066,30,0.2000,0.0000,0.0085,0.0064,0.0016
47.0000,14.3200,2.4969,45.0294,40.6447,4.2765,0.0146,0.0209,1.0801,3.4774,4.2765,3.4774,1.0801,4.2619,3.4628,1.0655,435.1140,3.0000,125.6066,30,0.2000,1.7498,0.0060,0.4419,1.4228
49.0000,14.9300,2.4899,35.0315,40.4163,6.4398,0.0152,0.0218,1.6214,5.2352,6.4398,5.2352,1.6214,6.4246,5.2200,1.6061,435.1140,3.0000,125.6066,30,0.2000,2.5274,0.0060,0.6363,2.0546
74.0000,22.5500,2.3637,35.0164,29.1991,32.7419,0.0230,0.0329,8.2027,26.6071,32.7419,26.6071,8.2027,32.7189,26.5841,8.1797,435.1140,3.0000,125.6066,30,0.2000,8.5088,0.0060,2.1317,6.9145
74.5000,22.7100,2.3641,52.8199,30.7403,33.2799,0.0232,0.0331,8.3374,27.0443,33.2799,27.0443,8.3374,33.2567,27.0211,8.3142,389.8847,2.6882,112.5500,30,0.2000,8.5906,0.0060,2.1521,6.9810
75.0000,22.8600,2.3583,32.3402,31.5109,33.7837,0.0233,0.0333,8.4634,27.4536,33.7837,27.4536,8.4634,33.7603,27.4303,8.4401,435.1140,3.0000,125.6066,30,0.2000,8.6625,0.0060,2.1701,7.0394
76.0000,23.1600,2.3771,95.1271,31.3395,34.7940,22.9813,0.0338,25.9345,32.5791,34.7940,32.5791,25.9345,11.8127,9.5978,2.9532,85.0120,0.5861,24.5408,30,0.2000,8.8041,5.8151,6.5624,8.2437
76.5000,23.3200,2.4096,42.7637,27.9430,35.3386,0.0238,0.0340,8.8525,28.7171,35.3386,28.7171,8.8525,35.3148,28.6933,8.8287,435.1140,3.0000,125.6066,30,0.2000,8.8835,0.0060,2.2254,7.2190
77.0000,23.4700,2.4463,93.2430,25.0031,35.8566,22.9336,0.0342,26.1643,33.4336,35.8566,33.4336,26.1643,12.9230,10.5000,3.2308,90.9782,0.6273,26.2631,30,0.2000,8.9552,5.7277,6.5346,8.3500
79.0000,24.0800,2.5396,163.1336,29.4272,38.0196,35.4622,0.0351,36.1015,37.5401,38.0196,37.5401,36.1015,2.5574,2.0779,0.6393,7.3490,0.0507,2.1215,30,0.2000,9.2550,8.6325,8.7881,9.1383
79.5000,24.2300,2.5012,150.1095,29.7698,38.5573,35.2288,0.0353,36.0609,37.9332,38.5573,37.9332,36.0609,3.3285,2.7044,0.8321,11.7450,0.0810,3.3905,30,0.2000,9.3269,8.5217,8.7230,9.1759
80.0000,24.3800,2.4640,114.8182,30.4835,39.0870,31.5481,0.0355,33.4328,37.6734,39.0870,37.6734,33.4328,7.5388,6.1253,1.8847,41.8425,0.2885,12.0789,30,0.2000,9.3959,7.5837,8.0367,9.0561
80.5000,24.5400,2.4312,78.5644,32.2815,39.6440,15.7797,0.0358,21.7458,35.1694,39.6440,35.1694,21.7458,23.8642,19.3897,5.9661,154.3232,1.0640,44.5493,30,0.2000,9.4706,3.7696,5.1949,8.4017
81.0000,24.6900,2.4066,34.0260,31.2538,40.1600,0.0252,0.0360,10.0589,32.6348,40.1600,32.6348,10.0589,40.1348,32.6096,10.0337,435.1140,3.0000,125.6066,30,0.2000,9.5347,0.0060,2.3882,7.7480
106.0000,32.3100,2.3397,52.3108,45.7819,65.8807,0.0330,0.0471,16.4949,53.5342,65.8807,53.5342,16.4949,65.8477,53.5013,16.4619,397.0963,2.7379,114.6318,30,0.2000,11.9522,0.0060,2.9925,9.7123
106.5000,32.4600,2.3474,38.6715,50.4344,66.3807,0.0331,0.0473,16.6200,53.9405,66.3807,53.9405,16.6200,66.3476,53.9074,16.5869,435.1140,3.0000,125.6066,30,0.2000,11.9864,0.0060,3.0011,9.7401
